did,mid,name,year,gender,country
2851714,749252,Tõnu Naissoo Trio,,,Estonia
1934214,1730394,Jason Stein,1976,1,United States
131975,214577,King Errisson,1941,1,Bahamas
590730,401521,Chris Pinnick,,1,United States
328592,1569847,Jackie Dougan,1930,1,Scotland
3343256,1110843,Lonnie Holley,1950,1,United States
328601,385708,Djalma Corrêa,1942,1,Brazil
623514,1064016,斉藤清,,1,Japan
492446,949191,Steve Marcus,1939,1,United States
623519,732834,渡嘉敷祐一,1955,1,Japan
230302,381951,Jason Yarde,1970,1,United Kingdom
623522,871526,新井英治,,1,Japan
361384,383478,Jimmy Johnson,1956,1,United States
361385,430015,Marc Chantereau,1947,1,France
623527,778068,直居隆雄,1947,,Japan
33708,150931,Bernie Worrell,1944,1,United States
754605,450193,Satanique Samba Trio,,,Brasília
2687924,889919,Niechęć,2007,,Poland
263096,538267,Don Lamond,1920,1,United States
263097,380423,Stan Levey,1926,1,United States
952,10912,Jimi Tenor,1965,1,Finland
33726,3812,Foday Musa Suso,1950,1,United States
1770434,804247,David Byrd-Marrow,,1,United States
263107,966283,Joe Nay,1934,1,Germany
295877,385575,Barry Finclair,,1,United States
1770437,804243,Christa Robinson,,2,United States
33736,502647,Phillip Wilson,1941,1,United States
33737,83479,Jonas Hellborg,1958,1,Sweden
295881,470906,Sue Pray,,2,United States
164810,448932,나윤선,1969,2,South Korea
7832532,2143017,Jihye Lee Orchestra,,,New York
525277,712249,Mike Hartung,,1,Oslo
1115118,1482288,Matt Hollenberg,,1,Philadelphia
885743,1170343,Monty Waters,1938,1,Germany
328685,381880,Reese Wynans,1947,1,United States
1573879,582693,Nia Andrews,,2,Los Angeles
295930,282014,Lee Young,1914,1,United States
623617,1864755,Daniel Farrugia,,1,Australia
394246,1383625,Idris Rahman,1976,1,United Kingdom
394249,1347934,Robin Hopcraft,,1,United Kingdom
427022,526325,Gigi Venegoni,1951,1,Italy
295958,23964,The Branford Marsalis Quartet,,,United States
427039,140015,Viktor Krauss,1969,1,United States
1082410,681776,青柳誠,1961,1,Japan
1573932,528631,Michelle Makarski,,2,United States
132144,533570,Ray Bardani,,1,United States
3769397,1369892,Lauren Elizabeth Baba,,2,Los Angeles
328759,415426,Geoffrey Richardson,1950,1,United Kingdom
5080123,735879,Grace Kelly,1992,2,United States
885821,1070752,Lowell Davidson,1941,1,United States
2360388,846670,Susana Santos Silva,1979,2,Stockholm
361544,36341,Mitch Miller,1911,1,United States
296010,345285,Rune Carlsson,1940,1,Sweden
