id,name,year,gender,country
956969,Jerry Lloyd,1920,1,United States
2420091,Sachiko Nakajima,1949,2,Japan
2493424,Joanna Mattrey,,2,New York
498906,Bryan Bell,,1,New Zealand
944605,Elias Ferreira,,,Brazil
1087188,Nate Pryor,,1,United States
2487200,Robert Friedrich,,1,Germany
293598,Pentti Hietanen,1958,1,Finland
667007,Maurice Merle,1945,1,France
806213,Larry Kaplan,,1,United States
131096,Patricia González,,,Ecuador
603981,Andre Hayward,1973,1,United States
1160798,Sam Herman,,1,Lansing
1312452,Xavier Vidal,,1,France
1721805,Jacek Bednarek,1944,1,Poland
1380009,Lelo Nazario,,1,Brazil
1725678,Tyler Lott,,1,United States
2270495,Tomasz Pawlicki,,1,Poland
1681462,Tukano,,,Italy
126020,Chico Alvarez,1920,1,United States
2257585,Martin Nelson,,,United Kingdom
2147276,Marko Portin,,1,Finland
1813128,Hannah Levinson,,2,New York
983239,Michael Kohl,,1,Germany
909039,Владимир Белоусов,,1,Soviet Union
1212450,Nardo Poy,,1,United States
810038,Pete Riley,,1,United Kingdom
981430,Jakob Sørensen,,1,Denmark
132087,Joe Craven,,1,United States
1965472,Sam Miles,,,United Kingdom
893941,Dave Gossage,,1,Montréal
2011141,Clément Bailly,,1,France
1905082,Jose Gandia,,1,United Kingdom
2077467,Sarah Clarke,,2,United States
993273,Magro,1943,1,Brazil
1819420,Teruo Nakamura,,1,Japan
278027,John Perez,,1,United States
628061,Aleksander Korecki,1955,1,Poland
406724,Andrzej Zieliński,1944,1,Poland
2031711,Savannah Harris,,,United States
1912100,Tony Gross,,1,United States
1060228,Ole Streenberg,,1,Denmark
1893930,Nanci Belmont,,2,United States
1533952,Bob Rose,,1,United States
2579546,Patrick Martin,,1,Los Angeles
1766819,Kevin O'Donnell,,1,Denver
2502184,Jerzy Bojanowski,,1,Germany
716241,Al Hall,1915,1,United States
1056417,Ramon Banda,,1,Los Angeles
851023,Myor Rosen,,,United States
622079,Doug Rhodes,1945,,United States
377211,Frank Gibson,,1,Bahamas
1813364,Charles Crosby,1957,1,Indiana
1843419,Katt Hernandez,,2,Sweden
51129,Julius Hemphill,1938,1,United States
1603428,David Barron,,1,United States
975776,Ronnie Free,1936,1,United States
1483878,Paul Sikivie,,1,United States
356,Monty Python,1969,,United Kingdom
1049858,Nnamdi Ogbonnaya,,1,United States
2186882,Enji,,2,München
2259374,Eric Young,1984,1,Sweden
734641,Anita Livstrand,1953,2,Sweden
1491219,Douglas Antunes,,1,Brazil
462091,Russell Tubbs,,1,United States
1730266,Wade Barnes,1954,1,United States
265789,Bobby Hamilton,1938,1,United States
2584124,Julian Taylor,,1,Toronto
205165,Bruce Henry,1949,1,Brazil
2295650,Jay Stone,,1,United Kingdom
2309472,Luis Rodriguez,,1,United States
587963,Spartacus R,,,New Zealand
2617219,Ruby James,,2,London
674059,Jay McAllister,1980,1,United Kingdom
509477,William Barnes,1801,1,United Kingdom
1843195,Pat Smith,,2,Nottinghamshire
934918,Ben Dixon,1934,1,United States
1491220,Daniel Gralha,,1,Brazil
977554,Stan Mark,,1,United States
1879665,Larry Washington,,1,United States
508625,Alex Foster,1953,1,United States
1501827,Brian Macdonald,,1,United States
1553847,Warren Benbow,1954,1,United States
2263192,"Melva ""Lady"" Adams",,2,United States
567601,William Stone,,1,United States
1147989,Food,,,France
1876303,Amadou Kouyate,,1,Baltimore
605377,Jonathan Arons,,1,United States
765115,Tony Gorruso,,1,United States
 2507351,Phil Parnell,,,Australia
985013,Nelson Harrison,,1,Pittsburgh
2028253,Mauricio Fleury,,,São Paulo
960781,Joe Roccisano,1939,1,United States
1815342,Johnny Mori,1949,1,United States
1879100,Reinaldo de Jesus,,1,New York
916666,Pat Dixon,,1,United States
205069,Martin Fry,1958,1,United Kingdom
457593,Sonny Burke,1914,1,United States
1258811,Jasmin Gundermann,,2,Germany
1042370,Clifford Barbaro,1938,1,United States
898343,Dutch Treat,,,Netherlands
1455608,Hassan Machoure,,1,Morocco
1004952,Joseph Orange,1941,1,United States
98649,James Clay,1935,1,United States
1693654,Brynjulf Blix,1951,1,Norway
1580933,João Bittencourt,,1,Brazil
1918383,Hans Steiner,,1,Austria
1878331,Ed Dudley,,1,United Kingdom
1724014,Gianfranco Tedeschi,,1,Italy
2461666,Hannah Tolf,,2,Sweden
1103050,Jerry Solomon,,1,United States
2515525,Dane Paris,,1,South Africa
1041310,Earl Freeman,1937,1,United States
928503,Iurie Morar,,1,France
2415052,Antonio Santa Cruz,,1,United States
1603792,Eric Byers,,1,United States
657205,Edith Borroff,1925,2,United States
1130626,María Emilia Martínez,,2,Mexico
1507957,Jill Harris,1987,2,Toronto
990035,Pernell Saturnino,1962,1,Curaçao
1285816,Dave Aaron,,1,United States
811075,Good God,,,United States
2080267,Brute Force,1940,1,United States
2345445,Aaron Janik,,1,Los Angeles
2125857,Marcelo Costa,1942,1,Brazil
2580869,Alessandro Bonetti,,1,Italy
1115518,Tan Tan,,2,Japan
1959450,Wuja HZG,,,Poland
1233114,John Barber,,1,United Kingdom
1258806,Julian Schunter,,1,Germany
2277487,Tom Goehring,,1,United States
1069677,Joe Maini,1930,1,United States
1502009,Ali Jackson,1931,1,United States
1617897,Lee Rozie,,1,United States
1621768,Elizabeth Edwards,,2,United Kingdom
1562845,Oliver Williams,,1,United States
1768375,Emanuel Brown,1989,1,Seattle
1379675,David Georgelet,,1,France
118176,Grażyna Auguścik,1955,2,Poland
1986683,Songa Lee,,2,United States
1027972,SAYAKA,1995,2,Japan
2279417,David Amaro,1993,1,Slovenia
2059977,ord,,,Japan
1227163,Philip Achille,,1,United Kingdom
1258813,Heiko Giering,,1,Germany
2390577,Martin Wieland,,1,Germany
1783497,Paul Tobias,,1,Nashville
83329,Raúl Planas,1925,1,Cuba
1959449,Latarnik,,,Poland
1949709,Paul Cornish,,1,United States
1546913,Louise Varèse,1890,2,United States
995159,Piotr Łukaszewski,1966,1,Poland
1113657,Roland Vamos,,1,United States
1160244,James Jordan,1953,1,United States
2579106,山本直樹,1960,1,Japan
1270256,Shafi Hadi,1929,1,United States
350196,Larry Bright,1934,1,United States
818591,Sean Fitzpatrick,,1,United States
1131247,iLLvibe,,1,Toronto
2238883,Zé Carlos,,1,Brazil
1051968,Fabien Girard,,1,France
2407021,Jacob Braun,,1,United States
