"id","rank","rating","year"
13813020,344,3.76,July 1961
1155049,352,3.75,February 1958
2879856,356,3.75,April 1959
2389782,359,3.79,1980
14130525,363,3.74,January 1964
1487644,364,3.72,1966
760428,366,3.74,1989
12146124,368,3.74,1975
1445395,369,3.74,March 1977
1270551,377,3.73,February 1964
3388029,388,3.75,November 1958
952433,391,3.73,1974
13613129,395,3.76,1976
609586,399,3.74,March 1998
2132144,401,3.72,11 April 1960
27819150,403,3.73,1959
481005,411,3.73,1974
13744596,414,3.75,January 1957
822491,415,3.73,1967
1970130,418,3.73,1967
9010661,426,3.73,1966
1186962,427,3.73,November 1959
845521,428,3.73,November 1962
2017372,430,3.72,April 1983
1787932,434,3.74,1973
2138488,435,3.73,August 1974
21039862,437,3.73,January 1957
4677785,441,3.73,1958
6230857,442,3.72,25 February 1976
5921634,445,3.73,17 June 2014
14216796,448,3.71,1964
1773855,450,3.69,February 1966
872192,455,3.72,January 1969
1682914,457,3.74,1968
604647,461,3.69,1981
2370629,463,3.72,1955
9921143,466,3.74,February 1966
14131526,471,3.71,November 1963
23564258,472,3.72,January 1959
15075870,474,3.73,October 1964
22910555,477,3.72,February 1960
4892567,480,3.71,April 1959
2884216,482,3.71,1955
2718052,491,3.71,September 1976
4830875,493,3.71,1 September 1997
685529,497,3.73,1966
838423,502,3.71,1 September 1961
4106861,511,3.72,August 1967
2012115,513,3.72,9 October 2009
3153518,516,3.7,November 1971
3782204,518,3.69,1959
1902929,521,3.72,15 September 1998
1926903,523,3.7,June 1947
13729994,525,3.69,10 April 1974
4791866,527,3.71,1959
23327981,538,3.68,February 1961
2331234,539,3.7,September 1973
2018290,541,3.66,5 March 1956
27428409,545,3.67,2 June 2023
1907901,548,3.69,December 1962
6385547,550,3.7,June 1954
3111609,551,3.69,June 1963
2780559,553,3.68,1967
403987,554,3.69,November 1961
2595613,557,3.67,May 1967
7182157,558,3.72,September 1959
15919839,560,3.69,15 October 2002
2683074,562,3.7,1969
7069413,565,3.71,1966
2096624,566,3.69,January 1957
2659391,570,3.67,February 1968
1067144,572,3.69,1989
2768209,574,3.67,March 1967
783641,585,3.7,5 January 1959
2463659,590,3.69,30 October 2006
5725699,592,3.69,16 September 1997
3714398,593,3.7,1958
650733,594,3.7,August 1965
3513487,604,3.69,1960
12596075,608,3.7,25 March 2002
28140613,610,3.69,April 1967
6646707,611,3.68,June 1963
3994366,620,3.69,September 1962
2543434,623,3.67,1972
1248464,628,3.68,January 1960
2182809,632,3.68,October 1957
4587268,633,3.68,7 June 2011
1192136,644,3.67,January 1965
1199919,646,3.69,2006
1216069,649,3.68,2 February 2004
461152,654,3.67,April 1976
7220013,655,3.68,1973
654952,656,3.64,1970
219536,659,3.67,March 1974
2006582,664,3.65,19 October 2009
1103510,666,3.67,September 1964
437567,667,3.68,May 1967
5510493,668,3.68,January 1964
228202,670,3.66,July 1971
263035,671,3.67,1975
928106,673,3.64,January 1968
2962803,682,3.65,1973
15075898,684,3.67,January 1966
4952581,700,3.66,1978
977548,701,3.66,June 1969
1593314,704,3.64,1 December 1977
504853,711,3.64,1992
1802935,712,3.67,December 1968
23225315,713,3.7,June 1957
13087269,717,3.66,25 October 2017
1650483,718,3.67,March 1957
4619143,719,3.67,1959
7763516,722,3.65,22 September 2003
2575472,724,3.66,March 1957
1469738,725,3.66,11 November 1997
2714184,732,3.66,November 1961
1236215,734,3.78,1970
9072898,735,3.63,4 November 2016
2707016,736,3.64,January 1962
1220480,737,3.64,November 1964
1149223,739,3.63,1969
4214475,740,3.64,October 1975
2531524,742,3.65,24 January 2005
3658120,757,3.66,2006
15554701,759,3.64,September 1983
2822879,763,3.66,1974
7003822,765,3.64,18 March 2013
1359044,769,3.64,1965
13247130,778,3.66,1973
1197377,784,3.65,1971
5308097,786,3.78,1964
9578864,787,3.62,July 1981
901691,796,3.64,February 1966
