;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
397;398;Keith Jarrett;The Melody at Night, With You;18 October 1999;ECM Style Jazz;3.73;733;16
398;399;The Lounge Lizards;Queen of All Ears;March 1998;Post-Bop;3.74;520;4
399;400;Jackie McLean;Action;September 1967;Post-Bop, Modal Jazz;3.75;381;6
400;401;Charles Mingus and His Jazz Groups;Mingus Dynasty;11 April 1960;Post-Bop;3.72;1,915;21
401;402;John Abercrombie;Timeless;January 1975;Jazz Fusion;3.72;1,163;23
402;403;Cannonball Adderley;Cannonball Adderley Quintet in Chicago;1959;Hard Bop;3.73;823;15
403;404;Roland Kirk;Volunteered Slavery;15 October 1969;Post-Bop;3.74;565;11
404;405;Woody Shaw;Blackstone Legacy;1971;Post-Bop, Avant-Garde Jazz;3.75;336;3
405;406;Sonny Rollins;Newk's Time;March 1959;Hard Bop;3.73;795;13
406;407;Arthur Jones;Scorpio;1971;Free Jazz;3.75;310;3
407;408;Helen Merrill;Helen Merrill;1955;Vocal Jazz, Standards;3.72;1,096;18
408;409;Joe Henderson;In 'n Out;February 1965;Hard Bop, Post-Bop;3.73;784;7
409;410;Thelonious Monk;It's Monk's Time;13 July 1964;Hard Bop;3.73;721;7
410;411;Julian Priester Pepo Mtoto;Love, Love;1974;Jazz Fusion;3.73;633;12
411;412;The New Tony Williams Lifetime;Believe It;October 1975;Jazz Fusion, Jazz-Rock;3.73;503;9
412;413;Freddie Hubbard;Breaking Point;September 1964;Hard Bop, Modal Jazz, Post-Bop;3.74;472;5
413;414;Johnny Griffin;Introducing Johnny Griffin;January 1957;Hard Bop;3.75;328;5
414;415;Diwan Motihar;Jazz Meets India;1967;Spiritual Jazz, Indo Jazz, Free Jazz;3.73;944;11
415;416;Avishai Cohen Trio;Gently Disturbed;10 April 2008;Post-Bop, Chamber Jazz;3.73;589;11
416;417;Anthony Davis;Lady of the Mirrors;December 1980;Avant-Garde Jazz, Modern Creative;3.73;642;12
417;418;Ornette Coleman;Chappaqua Suite;1967;Free Jazz;3.73;492;7
418;419;The Oscar Peterson Trio;Night Train;August 1963;Cool Jazz, Hard Bop;3.72;1,837;27
419;420; Ryo Fukui [福居良];Mellow Dream (メロー・ドリーム);21 December 1977;Hard Bop, Cool Jazz;3.72;1,423;4
420;421;Wes Montgomery;Boss Guitar;August 1963;Hard Bop, Soul Jazz;3.74;456;8
421;422;Freddie Hubbard;Open Sesame;November 1960;Hard Bop;3.72;1,147;17
422;423;Pat Metheny Group;The Way Up;24 January 2005;Jazz Fusion;3.71;1,106;23
423;424;Duke Jordan;Flight to Jordan;May 1961;Hard Bop;3.74;325;5
424;425;Anthony Braxton;New York, Fall 1974;March 1975;Avant-Garde Jazz, Modern Creative;3.72;1,025;18
425;426;Sun Ra;The Lady With the Golden Stockings;1966;Avant-Garde Jazz, Hard Bop;3.73;894;11
426;427;The Horace Silver Quintet & Trio;Blowin' the Blues Away;November 1959;Hard Bop;3.73;860;17
427;428;Cannonball Adderley With Bill Evans;Know What I Mean?;November 1962;Hard Bop, Cool Jazz;3.73;722;5
428;429;Zbigniew Seifert;Man of the Light;1977;Post-Bop, Jazz Fusion;3.72;604;7
429;430;Anthony Davis;Variations in Dream-Time;April 1983;Avant-Garde Jazz, Third Stream, Modern Creative;3.72;564;7
430;431;Kenny Drew;Undercurrent;July 1961;Hard Bop;3.73;516;8
431;432;Matthew Halsall;Colour Yes;26 October 2009;Cool Jazz;3.74;338;5
432;433;Roy Hargrove;Earfood;2 June 2008;Post-Bop;3.75;307;3
433;434;Elis Regina;Elis;1973;MPB, Samba-jazz;3.74;287;4
434;435;McCoy Tyner;Echoes of a Friend;August 1974;Spiritual Jazz, Post-Bop;3.73;538;9
435;436;Bobby Hutcherson;Components;September 1966;Post-Bop;3.72;766;12
436;437;Horace Silver Quintet;6 Pieces of Silver;January 1957;Hard Bop;3.73;511;8
437;438;Kenny Dorham;Afro-Cuban;October 1955;Hard Bop, Afro-Cuban Jazz;3.72;1,347;13
438;439;John Coltrane;Expression;September 1967;Free Jazz;3.71;1,413;14
439;440;Art Pepper;Art Pepper Meets the Rhythm Section;1957;Cool Jazz;3.72;1,070;15
440;441;Art Tatum;The Art Tatum - Ben Webster Quartet;1958;Cool Jazz, Stride;3.73;679;10
441;442; Hiroshi Suzuki [鈴木弘];Cat;25 February 1976;Jazz Fusion;3.72;971;5
442;443;Hank Mobley;Workout;March 1962;Hard Bop;3.73;628;9
443;444;Hermeto Pascoal;Zabumbê-bum-á;1979;Avant-Garde Jazz;3.72;544;5
444;445;The Trio Project;Alive;17 June 2014;Jazz Fusion;3.73;421;5
445;446;Roy Haynes;We Three;May 1959;Hard Bop;3.73;564;10
446;447;Naked City;Torture Garden;1 November 1990;Avant-Garde Jazz, Grindcore, Brutal Prog;3.68;4,074;64
447;448;Herbie Hancock;Inventions & Dimensions;1964;Post-Bop;3.71;1,613;29
448;449;The Horace Silver Quintet;Serenade to a Soul Sister;June 1968;Hard Bop, Post-Bop, Modal Jazz;3.73;371;6
449;450;Patty Waters;Patty Waters Sings;February 1966;Vocal Jazz, Avant-Garde Jazz;3.69;2,490;45
450;451;The Tony Williams Lifetime;Emergency!;September 1969;Jazz Fusion;3.71;1,109;25
451;452;Jack DeJohnette;Special Edition;1980;Avant-Garde Jazz;3.73;456;8
452;453;Flying Lotus;You're Dead!;6 October 2014;Nu Jazz, Wonky, Jazz Fusion;3.64;13,576;74
453;454;Thelonious Monk;Thelonious Monk With John Coltrane;October 1961;Hard Bop;3.70;2,738;31
454;455;Eddie Gale;Eddie Gale's Ghetto Music;January 1969;Spiritual Jazz, Avant-Garde Jazz;3.72;654;9
455;456;Art Blakey & The Jazz Messengers;Buhaina's Delight;July 1963;Hard Bop;3.73;456;8
456;457;Baden Powell;Poema on Guitar;1968;Bossa nova, Samba-jazz;3.74;287;2
457;458;Gato;The Third World;March 1970;Avant-Garde Jazz, Spiritual Jazz;3.73;371;7
458;459;Prince Lasha;The Cry!;1963;Post-Bop, Avant-Garde Jazz;3.73;312;13
459;460;Eric Dolphy Quintet;Outward Bound;1960;Hard Bop;3.71;1,371;16
460;461;The Lounge Lizards;The Lounge Lizards;1981;Avant-Garde Jazz, Post-Bop;3.69;2,757;20
461;462;Ralph Towner;Solstice;September 1975;ECM Style Jazz, Jazz Fusion, Chamber Jazz;3.71;1,079;14
462;463;Clifford Brown & Max Roach;Brown and Roach Incorporated;1955;Hard Bop;3.72;674;15
463;464;Wayne Shorter;Odyssey of Iska;July 1971;Avant-Garde Jazz, Spiritual Jazz;3.71;628;7
464;465;Max Roach;Deeds, Not Words;November 1958;Hard Bop;3.73;303;7
465;466;Duke Pearson;"""Wahoo!""";February 1966;Hard Bop;3.74;273;1
466;467;Miles Davis Quintet;Relaxin' With the Miles Davis Quintet;March 1958;Hard Bop;3.69;3,634;35
467;468;Pharoah Sanders;Tauhid;October 1967;Spiritual Jazz, Free Jazz;3.70;1,902;18
468;469;Sonny Rollins;East Broadway Run Down;January 1967;Post-Bop, Avant-Garde Jazz;3.71;613;9
469;470;Duke Ellington and His Orchestra;Piano in the Background;1960;Big Band;3.73;351;5
470;471;Freddie Hubbard;Hub-Tones;November 1963;Hard Bop;3.71;890;16
471;472;Lou Donaldson;Blues Walk;January 1959;Hard Bop;3.72;636;11
472;473;Tomasz Stańko;TWET;1974;European Free Jazz;3.71;617;7
473;474;Dexter Gordon;A Swingin' Affair;October 1964;Hard Bop;3.73;349;8
474;475;Billie Holiday;Lady in Satin;June 1958;Vocal Jazz;3.68;3,208;70
475;476;The Ornette Coleman Quartet;Ornette!;February 1962;Avant-Garde Jazz;3.70;1,449;13
476;477;Art Pepper;Art Pepper + Eleven: Modern Jazz Classics;February 1960;Cool Jazz, Big Band;3.72;326;4
477;478;The Necks;Drive By;2003;Avant-Garde Jazz;3.70;1,073;16
478;479;Dizzy Gillespie and His Orchestra;Afro;1954;Afro-Cuban Jazz, Big Band;3.71;893;13
479;480;Ella Fitzgerald & Louis Armstrong;Porgy & Bess;April 1959;Vocal Jazz;3.71;727;8
480;481;Joe Henderson;Our Thing;June 1964;Hard Bop;3.71;642;6
481;482;Louis Armstrong and His All-Stars;Satch Plays Fats: A Tribute to the Immortal Fats Waller;1955;Vocal Jazz;3.71;610;13
482;483;Miles Davis;Porgy and Bess;March 1959;Big Band, Progressive Big Band;3.68;4,068;69
