jean-charles duc;big band,traditional folk music,vocal music
catherine bagnoud;big band,traditional folk music,vocal music
claude romailler;big band,traditional folk music,vocal music
gert stäuble;big band,traditional folk music,vocal music
yves-andré bagnoud;big band,traditional folk music,vocal music
alain borgeat;big band,traditional folk music,vocal music
françois gay-balmaz;big band,traditional folk music,vocal music
edi lepagier;big band,traditional folk music,vocal music
stéphanie riondel;big band,traditional folk music,vocal music
sophie walter;big band,traditional folk music,vocal music
bénédicte lécroart;big band,traditional folk music,vocal music
gilbert paeffgen;big band,traditional folk music,vocal music
pele loriano;big band,traditional folk music,vocal music
laurence revey;big band,traditional folk music,vocal music
mich gerber;big band,traditional folk music,trip hop,world music,vocal music
nils petter molvaer;electronic music,dub music,drum and bass,jazz fusion,electronica,jazz
eivind aarset;electronic music,dub music,drum and bass,jazz fusion,electronica,jazz
rune arnesen;electronica,jazz fusion,drum and bass
audun erlien;electronica,jazz fusion,drum and bass
dj darknorse;electronica,jazz fusion
dj strangefruit;electronica,jazz fusion
sam karpienia;electronica
samuel de agostini;electronica
pierre-laurent bertolino;electronica
le grand david;dance music
caroline desquartier;dance music
joceline plantier;dance music
rafael paulo;alternative rock,world music,música popular brasileira
matias canavese;alternative rock,world music
stéfane mellino;alternative rock,world music
isa mellino;alternative rock,world music
michel "mich" ochowiak;alternative rock,world music
gwen badoux;alternative rock,world music
fabrice sansonetti;alternative rock,world music
dj howie b;electronica,trip hop
jan st. werner;dance music,ambient music,avant-garde music
andi thomas;dance music,ambient music,avant-garde music
rosa barba;dance music,ambient music,avant-garde music
richard march;techno,breakbeat,electronica
mike stokes;techno,breakbeat,electronica
kermit;techno,breakbeat,electronica
fuzz townshend;techno,breakbeat,electronica
keith york;techno,breakbeat,electronica
neil barnes;techno,dub music,trip hop
nick rapaccioli;techno,dub music,trip hop
cheshire cat;techno,dub music,trip hop
paul daley;techno,dub music,trip hop
adam wren;techno,dub music,trip hop
gilles peterson;hip hop culture,minimalist music,house music,soul music,rhythm and blues,funk,bossa nova,acid jazz,electronica,jazz
earl zinger;electronica,minimalist music,funk,acid jazz
valerie etienne;electronic music,house music,jazz-funk,acid jazz,jazz
rob gallagher;electronic music,jazz-funk,jazz,acid jazz
paul fredericks;electronic music,ambient music,trip hop,acid jazz,jazz
ski oakenfull;electronic music,jazz,acid jazz
julie dexter;hard bop,electronic music,jazz fusion,jazz
daniel crosby;ska,electronic music,jazz,reggae
andy hamil;electronic music,drum and bass,trip hop,jazz-funk,jazz
dillip harris;electronic music,jazz
mj cole;disco,house music
simon wilcox;disco,house music
ashley soan;disco,house music
elisabeth troy;pop music,rock music,disco,house music
eron antini;disco,house music
gary bardouille;dance music,world music,disco,house music
daniel v;disco,house music
guy simone;disco,house music
krust;drum and bass,alternative hip hop
die;drum and bass
suv;drum and bass
dynamite;drum and bass
keith carlock;soul music,rhythm and blues,jazz fusion,blues,crossover jazz,rock music
steve cropper;soul music,rhythm and blues,funk,blues,rock music
eddie floyd;soul music,rhythm and blues,blues,rock music
eric "the red" udel;soul music,rhythm and blues,blues,rock music
alan "mr. fabulous" rubin;soul music,rhythm and blues,funk,blues,rock music
ned holder;soul music,rhythm and blues,blues
lou marini;soul music,rhythm and blues,funk,blues,rock music
matt murphy;soul music,rhythm and blues,funk,blues,rock music
tommy "pipes" mcdonnell;soul music,rhythm and blues,blues,rock music
jeff kazze;soul music,blues
glen palmer;soul music,blues
stef burns;pop music,rock music,blues,soul music
johnny colla;rock music,blues,soul music
bill gibson;rock music,blues,soul music
huey lewis;rock music,blues,soul music
sean hopper;rock music,blues,soul music
john pierce;rock music,blues,soul music
ron stallings;rock music,blues,soul music
rob sudduth;rock music,blues,soul music
marvin mcfadden;rock music,blues,soul music
joe satriani;hard rock,pop music,progressive rock,jazz fusion
stuart "stu" hamm;hard rock,pop music,progressive rock,jazz fusion
eric caudieux;hard rock,pop music,jazz fusion
jeffrey campitelli;hard rock,pop music,jazz fusion
sean rickman;bebop,post-bop,soul music,jazz fusion,jazz-funk,jazz
me'shell ndegeocello;soul music,jazz fusion,jazz-funk,jazz,contemporary R&B
allen cato;jazz fusion,jazz-funk,soul music
michael cain;jazz fusion,soul music
anthony tidd;jazz fusion,soul music
albin de la simone;music of Africa,indie pop
raphael chassin;music of Africa,soul music,indie pop,jazz fusion
salif keïta;music of Africa,pop music,rock music,jazz
souleymane doumbia;music of Africa,pop music,jazz
awa maïga;music of Africa
zaf zapha;music of Africa,post-bop,bebop
diely moussa kouyaté;music of Africa
bruno lasnier;music of Africa
monique "koko" ouadjah;music of Africa
matt demerritt;neo soul,hip hop culture
todd simon;neo soul,Afrobeat
macy gray;neo soul,soul music,rhythm and blues
jeremy ruzumna;neo soul
killu beckwith;neo soul
dion derek murdock;neo soul
arik marschall;neo soul
dave wilder;neo soul
melena francis;neo soul
tracy wonnomae;neo soul
tom ralls;neo soul
niki crawford;neo soul
dawn beckman;neo soul
sy smith;neo soul
fazil say;jazz
kudsi ergüner;world music,jazz
volkan orhon;jazz
emrah kotan;jazz
jef lee johnson;soul music,rhythm and blues,cool jazz,neo soul,jazz fusion,jazz-funk,crossover jazz,rock music,jazz,contemporary R&B
arielle dombasle;rock music,jazz
daye dalhomme;rock music,jazz
derek james;rock music,jazz
bud williams;rock music,jazz
jacques higelin;big band,blues,rock music,jazz,classical music
miossec;rock music,jazz
jane birkin;rock music,jazz
lenny castro;post-bop,soul music,jazz fusion,blues,jazz-funk,country music,crossover jazz,rock music,jazz,contemporary R&B
carlos leal;hip hop culture,rock music,jazz-funk,funk,rapping,jazz
ute lemper;big band,blues,vocal music,rock music,jazz,classical music
michael manson;rock music,jazz
alain chamfort;rock music,jazz
-m-;music of Africa,rock music,jazz
george duke;rhythm and blues,disco,a cappella,cool jazz,rock and roll,jazz-funk,blues,swing music,crossover jazz,hip hop culture,gospel music,acid jazz,hard bop,rock music,post-bop,pop music,neo soul,jazz fusion,world music,vocal music,contemporary R&B,big band,soul music,jazz
anne carrard;rock music,jazz
david sanborn;bebop,post-bop,big band,acid jazz,soul music,music of Brazil,cool jazz,jazz fusion,funk,blues,jazz-funk,crossover jazz,rock music,jazz,contemporary R&B
joe sample;bebop,post-bop,big band,soul music,music of Brazil,cool jazz,jazz fusion,blues,jazz-funk,hard bop,crossover jazz,jazz,contemporary R&B
richard bona;bebop,music of Africa,jazz fusion,world music,jazz-funk,new age music,jazz,Afro-Cuban jazz
brian blade;post-bop,free jazz,soul music,jazz fusion,blues,hard bop,crossover jazz,rock music,jazz
mike campbell;neo soul,dub music,rhythm and blues,reggae
angie stone;neo soul,rhythm and blues,funk
jamal peoples;neo soul,rhythm and blues,funk
kenneth j. seymour;neo soul,rhythm and blues
larry peoples, jr.;neo soul,rhythm and blues
larry peoples sr.;neo soul,rhythm and blues
karen kenny;neo soul,rhythm and blues
yolanda wyns;neo soul,rhythm and blues
kamba francis;neo soul,rhythm and blues
al jarreau;big band,music of Latin America,hip hop culture,acid jazz,soul music,rhythm and blues,music of Brazil,pop music,jazz fusion,jazz-funk,funk,vocal music,crossover jazz,jazz,contemporary R&B
chris walker;soul music,jazz fusion,crossover jazz,jazz,contemporary R&B
ross bolton;soul music,jazz fusion,jazz
arno lucas;jazz
debbie davis;soul music,jazz fusion,jazz
freddie ravel;jazz
jota morelli;jazz
géo voumard;hard bop,jazz
raymond court;bebop,post-bop,jazz
aldo calanca;jazz
jean-yves petiot;jazz
alain petitmermet;jazz
bruno fontaine;blues,vocal music,rock music,jazz,classical music
rob thomas;post-bop,rock music,jazz,vocal music
ben sher;rock music,jazz,vocal music
jeff song;rock music,jazz,vocal music
todd turkisher;rock music,jazz,vocal music
janis siegel;bebop,pop music,jazz fusion,blues,vocal music,jazz
tim hauser;bebop,pop music,jazz fusion,blues,vocal music,jazz
alan paul;bebop,pop music,jazz fusion,blues,vocal music,jazz
cheryl bentyne;bebop,pop music,jazz fusion,blues,vocal music,jazz
yaron gershovsky;bebop,pop music,jazz fusion,blues,vocal music,jazz
wayne johnson;pop music,jazz fusion,blues,vocal music,rock music,jazz
michael bowie;pop music,jazz fusion,jazz,vocal music
cliff almond;pop music,jazz fusion,bebop,vocal music
larry klimas;pop music,jazz fusion,bebop,vocal music
