13087269,717,3.66,25 October 2017
16274838,718,3.67,March 1957
7763516,722,3.65,22 September 2003
2575472,724,3.66,March 1957
2313263,732,3.66,November 1961
9072898,735,3.63,4 November 2016
1149223,739,3.63,1969
968978,740,3.64,October 1975
11985745,742,3.65,24 January 2005
371529,759,3.64,September 1983
7003822,765,3.64,18 March 2013
6119080,769,3.64,1965
13247130,778,3.66,1973
2253619,784,3.65,1971
7467736,787,3.62,July 1981
2413972,812,3.65,1959
1216097,813,3.65,25 August 2006
4295993,817,3.65,1963
5469720,819,3.65,June 1999
1081900,820,3.64,November 1961
20695597,831,3.64,1963
12829295,836,3.64,28 January 2003
3263579,844,3.64,January 1959
1939236,845,3.62,2007
17705281,851,3.63,October 1958
5142713,853,3.66,1954
3585455,857,3.64,1980
932779,859,3.64,1973
1976272,868,3.62,June 1971
6498457,871,3.63,1953
649498,872,3.63,8 March 2006
977687,876,3.64,February 1974
357897,880,3.62,7 September 2004
16239599,881,3.63,October 1970
2522163,886,3.63,November 1975
3019674,891,3.62,16 June 1998
861733,895,3.62,November 1966
2724723,910,3.63,1953
1593314,918,3.62,1977
5828722,919,3.62,11 August 1998
1360383,925,3.62,1972
724525,939,3.62,1956
1651841,940,3.62,13 April 1987
2862131,942,3.6,1965
8094522,944,3.61,1974
22963934,945,3.6,November 1959
18150907,957,3.61,June 1957
1940680,960,3.61,10 December 1981
530606,1007,3.57,1965
1672674,1010,3.59,1984
2936326,1012,3.6,1960
7699199,1014,3.61,19 October 2008
22963934,1016,3.58,November 1958
4115931,1019,3.59,1977
5674165,1032,3.67,January 1955
492842,1042,3.59,1965
2429717,1050,3.58,1966
1243539,1057,3.62,June 1973
530606,1060,3.57,1966
1257682,1069,3.61,1970
2600309,1076,3.57,1965
10094003,1080,3.52,22 September 2016
1174266,1083,3.56,July 1964
13657137,1090,3.63,January 1962
1860007,1092,3.57,23 March 1983
1504041,1094,3.74,October 1957
4107547,1097,3.56,1993
1509298,1098,3.56,24 March 2012
25242238,1099,3.57,September 1975
1357079,1102,3.74,September 1965
407469,1103,3.56,27 March 2001
3265913,1107,3.57,1972
21299908,1110,3.65,April 1961
8041254,1115,3.57,9 November 2015
5311849,1116,3.67,10 January 2007
9405949,1120,3.55,March 1957
1286701,1121,3.56,June 1971
2703834,1126,3.64,September 1960
3181861,1136,3.56,September 1961
1487476,1145,3.56,1971
1266037,1146,3.55,20 November 2007
605327,1147,3.57,9 April 2002
6119080,1148,3.56,1967
1881871,1154,3.57,1955
3747813,1161,3.66,October 1965
4433488,1171,3.56,August 1956
363301,1173,3.55,1973
470790,1174,3.63,February 1979
858871,1179,3.56,1980
19270828,1180,3.53,February 1963
1428681,1182,3.59,1970
1056738,1192,3.55,June 1964
17517319,1216,3.57,29 January 2021
14647057,1218,3.54,1952
374649,1223,3.53,April 1973
17166241,1226,3.55,August 1959
733924,1229,3.54,January 1970
6018519,1240,3.61,25 June 2014
2502786,1251,3.7,2 November 1953
16419225,1262,3.69,1952
372767,1264,3.54,May 1957
496668,1267,3.53,1974
9282972,1271,3.53,1977
3867465,1272,3.54,October 1963
10557485,1283,3.52,August 1972
9405949,1296,3.52,1957
5463367,1300,3.51,27 January 2014
13873231,1301,3.52,23 June 2009
15035753,1306,3.52,13 March 2020
5283854,1313,3.68,1973
28140613,1314,3.68,July 1965
1117674,1316,3.5,18 January 1975
6795239,1325,3.51,May 1975
27399348,1332,3.52,16 June 2023
7091281,1336,3.5,10 May 1969
628318,1339,3.52,24 January 1972
1232382,1342,3.48,1989
437586,1346,3.61,22 November 1970
516105,1353,3.49,1969
1840580,1354,3.51,1975
8012885,1358,3.51,March 1979
12676975,1359,3.49,12 October 2018
2143125,1363,3.69,1972
318563,1366,3.48,October 1992
567712,1376,3.58,July 1974
3817267,1381,3.48,24 June 2012
10601451,1387,3.49,17 May 2017
5420100,1388,3.49,1980
4467365,1392,3.49,1975
1592840,1393,3.67,1960
4679793,1400,3.61,1958
877863,1401,3.62,12 March 1971
1042462,1404,3.49,1963
10136925,1407,3.74,1997
4556696,1409,3.69,November 1961
8199328,1411,3.46,4 March 2016
14752384,1413,3.48,31 January 2020
2599279,1419,3.55,1956
444376,1420,3.61,1974
5494668,1426,3.49,May 1962
4157795,1430,3.47,October 1957
7091281,1431,3.48,18 June 1966
1705732,1435,3.79,1973
10384468,1437,3.48,31 March 2017
697920,1440,3.48,1 August 1981
10320961,1441,3.49,26 May 2017
21310516,1447,3.48,7 May 2021
411943,1448,3.48,21 May 2002
23752934,1450,3.48,17 June 2022
1311521,1457,3.46,1972
25036366,1459,3.48,4 November 2022
2115100,1460,3.47,28 July 2009
16238390,1469,3.59,20 November 2020
13975933,1479,3.46,18 September 2015
26175866,1483,3.45,24 February 2023
8159970,1487,3.47,October 1962
5448367,1493,3.55,November 1976
3190779,1498,3.46,10 November 2011
1656236,1500,3.6,November 1980
1741973,1501,3.72,18 February 1992
6910820,1502,3.46,18 April 2015
481865,1506,3.46,1968
758787,1516,3.79,1957
2707017,1517,3.62,1975
423817,1519,3.45,23 June 1998
19824292,1523,3.47,6 August 2021
