"id","rank","rating","year"
496267,974,3.7,1987
1153201,975,3.53,1996
2642028,976,3.71,2007
2642862,977,3.93,1983
14195098,979,3.43,1971
1302191,980,3.78,1997
1249777,983,3.77,2007
4346112,984,3.95,1964
26174642,985,3.6,2023
4092205,986,3.64,2012
1977225,992,3.73,2009
17699104,995,3.57,1988
1004747,996,3.69,1997
2387500,998,3.88,1962
2393980,1002,3.65,1973
1027083,1003,3.99,1986
895347,1004,3.73,1992
3354452,1005,3.18,2008
3054808,1006,3.82,1996
772148,1007,3.56,1999
2533672,1009,3.81,1997
7900942,1010,3.61,1987
2602338,1012,3.55,1987
13666034,1014,3.4,1989
6092773,1017,4.17,2000
2579903,1018,3.68,2008
1053775,1020,3.62,2002
3840777,1021,3.66,2012
2502133,1022,3.75,1980
183604,1023,3.18,1992
4101347,1025,3.83,1980
895475,1027,3.76,1993
14190609,1028,3.87,1999
2006300,1036,3.65,1981
2485118,1038,3.88,1966
1625236,1039,3.12,2008
24110753,1040,3.16,2018
14573279,1041,3.43,2020
2373456,1042,3.68,1962
8638348,1045,3.78,1985
3191786,1046,3.87,1975
11775277,1048,3.16,2018
3504206,1053,3.21,2010
10969568,1054,3.29,2017
2774298,1055,3.29,2010
1646003,1056,3.45,1976
9919791,1061,3.88,1977
329577,1063,3.73,2000
7383913,1064,3.13,1983
4774195,1065,3.79,1998
3547640,1066,3.82,2003
6254900,1070,3.37,2014
7732050,1072,3.76,1995
5617050,1073,3.8,1969
1878498,1074,3.36,1989
10051756,1078,3.51,2017
168032,1079,3.96,2008
10979523,1080,3.81,1954
13510706,1083,3.68,2018
4469052,1084,3.74,1978
1056432,1085,3.43,1989
1585374,1087,3.86,1981
5786313,1090,3.67,1968
2856637,1093,3.46,1996
1040844,1099,3.37,2012
3466656,1102,3.81,1983
20976379,1105,3.16,2012
5670612,1106,3.63,2009
14284289,1107,3.9,1954
18601909,1108,3.42,1975
1129622,1110,3.89,1995
7806832,1113,3.46,2015
985462,1114,3.06,1996
13772932,1117,3.46,2019
9287827,1120,3.62,2020
2538179,1121,3.93,1996
322191,1122,3.05,1999
2814415,1124,3.96,1983
2306095,1126,3.92,1983
1230793,1127,3.93,1998
7715364,1128,3.34,2008
1013279,1130,3.98,1993
3190578,1136,3.48,1991
5809872,1143,3.62,2014
2882829,1144,3.63,1987
2096414,1146,3.42,1976
2325885,1149,3.63,2009
3235473,1151,3.76,1993
5433356,1152,4.03,1989
717772,1153,3.47,1982
1467467,1154,3.55,1986
5808020,1155,3.86,1967
9218948,1156,3.91,1982
8443819,1157,3.59,1989
4007443,1159,3.43,1986
12325431,1160,3.8,1988
770018,1161,3.47,2001
1636337,1163,3.26,1982
3578478,1164,3.37,1964
1070648,1166,3.76,2000
8506501,1169,3.94,1984
5714253,1172,3.85,1964
2655877,1174,3.36,2023
712382,1175,3.45,1982
15331519,1178,3.52,2012
7895970,1179,3.44,2010
1732128,1180,3.83,2009
1126402,1185,3.8,1991
10139731,1187,3.72,1996
1380694,1188,3.6,1999
1101734,1189,3.63,1997
719180,1191,3.53,1978
3645980,1193,3.98,2000
8989773,1198,4.07,2005
2647947,1200,3.66,1983
1577683,1201,3.78,1992
3593018,1203,3.44,1986
3590643,1205,3.63,1999
668920,1206,3.31,1999
8080424,1209,3.67,2015
4682067,1210,3.84,1960
