concert_mjf,concert_name,participant_names,wd_time,location_name,genre_name
http://www.wikidata.org/entity/Q99197752,Plaistow concert performed during Montreux Jazz Festival the 2014-07-11,"Cyril Bondi,Johann Bourquenez,Vincent Ruiz",2014-07-11T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197787,Jamie Cullum concert performed during Montreux Jazz Festival the 2014-07-11,"Rory Simmons,Loz Garratt,Jamie Cullum,Brad Webb,Tom Richards",2014-07-11T00:00:00Z,Auditorium Stravinski,crossover jazz
http://www.wikidata.org/entity/Q99197750,H Zettrio concert performed during Montreux Jazz Festival the 2014-07-11,"Masayuki Hiizumi,H Zett Nire,Hzett Kou",2014-07-11T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197751,Hiromi: The Trio Project concert performed during Montreux Jazz Festival the 2014-07-11,"Hiromi Uehara,Simon Phillips,Anthony Jackson",2014-07-11T00:00:00Z,Montreux Jazz Club,bebop
http://www.wikidata.org/entity/Q99197751,Hiromi: The Trio Project concert performed during Montreux Jazz Festival the 2014-07-11,"Hiromi Uehara,Simon Phillips,Anthony Jackson",2014-07-11T00:00:00Z,Montreux Jazz Club,post-bop
http://www.wikidata.org/entity/Q99197749,Magos & Limón concert performed during Montreux Jazz Festival the 2014-07-12,"Magos Herrera,Javier Limón",2014-07-12T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197748,Terri Lyne Carrington and The Mosaic concert performed during Montreux Jazz Festival the 2014-07-12,"Lizz Wright,Terri Lyne Carrington,Ingrid Jensen,Tia Fuller,Josh Hari,Matt Stevens",2014-07-12T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197746,Monty Alexander concert performed during Montreux Jazz Festival the 2014-07-13,"Monty Alexander,Hassan Shakur,Obed Calvaire,Karl Wright,Leon Duncan,Andy Bassford",2014-07-13T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197747,Mulatu Astatke concert performed during Montreux Jazz Festival the 2014-07-13,"Mulatu Astatke,Alexander Hawkins,Tom Skinner,Byron Wallen,Neil Charles,James Arben,Richard Olatunde Baker,Danny Keane",2014-07-13T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197744,"Manu Katché, Richard Bona, Stefano di Battista and Eric Legnini concert performed during Montreux Jazz Festival the 2014-07-14","Richard Bona,Manu Katché,Stefano di Battista,Éric Legnini",2014-07-14T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197745,Jerry Léonide concert performed during Montreux Jazz Festival the 2014-07-14,Jerry Léonide,2014-07-14T00:00:00Z,Montreux Jazz Club,jazz
http://www.wikidata.org/entity/Q99197741,Melanie de Biasio concert performed during Montreux Jazz Festival the 2014-07-15,"Mélanie De Biasio,Pascal Mohy,Samuel Gerstmans",2014-07-15T00:00:00Z,Montreux Jazz Club,cool jazz
