"id","rank","rating","year"
28955350,433,3.73,2023
11018224,434,3.74,2017
16397064,435,3.6,2017
12490644,437,3.63,2017
22961183,440,3.64,2018
7894329,445,3.86,2015
14734351,450,3.6,2019
19438633,451,3.6,2021
337743,453,3.62,1997
170454,457,3.64,1993
12311325,460,3.65,1995
3497913,468,3.62,2012
7912029,470,3.6,1994
15253230,471,3.61,2020
361335,472,3.62,2000
19531804,473,3.63,2022
5762314,474,3.55,2014
12443731,477,3.6,2018
28664152,480,3.61,2022
12570010,481,3.62,2018
9190895,486,3.6,2016
1277594,490,3.66,2020
25044439,492,3.61,2022
28664161,493,3.61,2022
230209,496,3.58,1986
413195,498,3.63,2001
12084576,501,3.65,2012
27511962,502,3.59,2011
220552,503,3.6,1993
315404,505,3.6,1990
8533726,511,3.62,1996
494125,516,3.61,1997
4812378,519,3.62,2007
26795693,523,3.57,2022
372440,524,3.59,1990
24633032,525,3.62,2022
27186684,527,3.58,2022
25151581,528,3.59,2021
748668,541,3.58,1991
26209877,551,3.58,2022
16438653,552,3.59,2002
13788447,553,3.58,2018
15753000,555,3.58,2017
16524108,557,3.57,2020
16251351,559,3.58,1995
23267789,563,3.58,2023
165639,564,3.58,1989
6794607,568,3.64,1995
23649770,574,3.57,2021
24913292,580,3.59,1993
1720194,582,3.59,1991
22826327,583,3.59,2022
15590200,585,3.56,2020
1544666,588,3.57,1989
243023,593,3.59,2001
28623319,596,3.57,2023
23083472,597,3.59,2021
14534401,609,3.57,2019
11262765,619,3.56,2017
16527735,624,3.57,2020
517518,628,3.54,2021
19969792,632,3.59,1995
21403378,638,3.57,2006
14218996,641,3.55,2019
78565,643,3.55,1999
20676505,649,3.55,2000
246742,651,3.55,2004
15533687,652,3.52,2020
543956,655,3.55,2004
25497631,656,3.51,2022
364489,661,3.54,1999
6649198,665,3.56,2005
5102997,668,3.55,2013
3469033,689,3.53,2012
28358704,692,3.53,2022
11610760,698,3.67,2016
15245295,703,3.59,2018
37009,706,3.53,2001
13546129,707,3.53,2019
5808994,713,3.53,2001
28854442,714,3.53,2023
15474050,716,3.55,2019
12940671,719,3.55,2007
3284792,721,3.53,2005
26529476,723,3.52,2022
23967011,724,3.54,2022
18908785,730,3.4,2020
7243316,731,3.52,2013
28664218,732,3.52,2021
486764,735,3.82,2002
3629149,742,3.51,2012
311885,746,3.55,1996
229542,750,3.52,2000
3865704,753,3.53,2011
9712042,754,3.53,2016
12091845,759,3.51,2017
1921027,762,3.5,2009
1136074,764,3.53,1995
18390061,765,3.48,2020
21319435,772,3.51,2020
140858,773,3.51,2003
22190101,777,3.51,2021
20994079,785,3.53,2017
1307409,786,3.53,1991
236426,799,3.61,2002
20621530,808,3.53,2021
4482631,813,3.53,2012
12797446,816,3.51,2018
12532193,818,3.51,2016
14916238,826,3.51,2019
3784169,829,3.52,1996
14187298,837,3.5,2018
16300843,846,3.94,2009
13128370,849,3.51,2003
515698,851,3.51,2005
16016757,852,3.51,2019
26254583,860,3.51,2023
5610785,862,3.5,2002
28917595,864,3.5,2023
16296547,866,3.51,2020
3782957,873,3.52,1996
20988094,874,3.51,2021
10507913,875,3.51,2016
220910,877,3.47,1997
94803,882,3.5,1990
1004265,883,3.6,1994
17376949,885,3.51,2020
15596435,888,3.47,2020
179094,889,3.48,1987
21087949,894,3.51,2021
26839442,898,3.48,1996
25276759,902,3.47,2021
22659533,922,3.47,2021
539458,926,3.47,1990
22176196,928,3.5,2021
12819790,929,3.48,1993
793323,932,3.49,2002
225856,939,3.46,1999
6908497,941,3.47,2015
28462882,944,3.45,2022
6296935,946,3.49,2004
28264540,947,3.48,2023
5605721,952,3.43,2004
24132407,958,3.53,2020
230122,962,3.45,1984
27555768,966,3.46,2022
1417679,967,3.46,2007
18108385,971,3.48,2020
2884719,972,3.49,2009
480410,973,3.49,2005
24018692,975,3.64,2016
27396150,991,3.45,2022
39591,994,3.48,1995
22654280,998,3.46,2022
15717409,1000,3.46,2019
343349,1002,3.49,2000
14121183,1005,3.41,2019
8050185,1008,3.47,2010
17089113,1009,3.45,2020
20317732,1011,3.47,2020
2103320,1024,3.47,2009
28514836,1027,3.47,2021
335424,1031,3.46,2000
880441,1032,3.46,1992
8462633,1033,3.46,1994
241300,1039,3.46,2002
27945963,1043,3.45,2019
873821,1046,3.46,1995
27656565,1047,3.46,2023
8687661,1050,3.46,2016
13488927,1051,3.43,2018
1420069,1059,3.45,2002
14807607,1061,3.47,2020
24376145,1063,3.72,2008
28541575,1064,3.46,2023
1148438,1067,3.51,2007
28376371,1077,3.43,2023
383250,1081,3.45,2002
15649179,1087,3.51,2019
8364321,1090,3.42,2015
22651709,1093,3.45,2018
25990603,1097,3.42,2021
21414871,1101,3.42,2021
27656151,1107,3.44,2009
15946436,1109,3.42,2016
13130047,1110,3.43,2018
7445860,1112,3.5,2015
14368082,1114,3.45,2019
9723331,1115,3.46,1997
27619557,1119,3.43,2017
790755,1120,3.45,2006
25509949,1124,3.73,2022
2253589,1125,3.45,2010
20236777,1126,3.46,2021
18156136,1132,3.42,2021
1984023,1133,3.44,2008
732628,1136,3.44,1999
20853835,1137,3.44,2006
27534909,1140,3.44,2023
16808562,1141,3.42,2020
9161935,1147,3.5,1995
23021507,1153,3.43,2018
449976,1156,3.64,1995
119844,1157,3.43,2001
28686874,1166,3.42,2023
16120452,1167,3.43,2020
22635290,1170,3.4,2022
116023,1177,3.44,1998
10488049,1181,3.39,2016
1494817,1183,3.43,2008
11247961,1188,3.4,2011
16786698,1194,3.39,2020
15833209,1196,3.4,2004
962870,1198,3.43,2007
362479,1202,3.42,2004
257760,1213,3.43,1999
2364030,1214,3.42,2010
26905760,1215,3.42,2023
8297985,1217,3.41,2015
7806794,1222,3.5,1998
21254446,1223,3.37,2021
26640365,1227,3.41,2020
14607489,1228,3.39,2018
346620,1233,3.42,2003
21462163,1238,3.4,2011
134832,1246,3.45,2001
19709518,1249,3.4,2021
23640608,1250,3.42,2022
2826501,1253,3.46,2011
21915847,1254,3.48,2021
13217371,1260,3.41,1999
28695196,1264,3.47,2022
3674556,1265,3.71,2012
13795542,1273,3.42,2023
3008467,1275,3.37,2011
1635210,1280,3.6,1993
2750182,1286,3.41,2011
27596385,1288,3.38,2023
398826,1289,3.41,2002
20992900,1291,3.4,2013
4682271,1296,3.4,2013
18140827,1301,3.42,2021
26315516,1309,3.4,2019
21384385,1310,3.36,2021
15347713,1311,3.39,2020
7970928,1312,3.39,1988
226235,1320,3.55,2000
23571569,1322,3.38,2022
22964504,1323,3.4,2021
505744,1324,3.41,1996
7658412,1327,3.66,2011
28092427,1329,3.39,2023
16197390,1331,3.38,2020
647551,1333,3.4,2006
16106463,1334,3.39,1999
6872959,1338,3.36,2010
16002559,1340,3.47,2020
5665236,1345,3.38,2014
806003,1348,3.37,2006
23692808,1355,3.36,2022
357417,1357,3.4,1990
4018660,1362,3.39,2012
19547026,1364,3.38,2021
11682611,1365,3.38,2018
1208880,1366,3.38,1987
23040545,1368,3.39,2018
221258,1372,3.56,2003
4828839,1373,3.75,2008
8958577,1374,3.32,2015
13948424,1377,3.49,2014
14585463,1378,3.52,2019
12802046,1380,3.37,2013
11802317,1381,3.38,2018
4044470,1387,3.39,2012
2122653,1388,3.39,2009
11675451,1391,3.35,2017
1946191,1401,3.37,2005
12302535,1407,3.6,2022
25551076,1410,3.38,2022
27228312,1418,3.38,2023
15924783,1424,3.37,2019
682908,1429,3.36,1990
22343401,1430,3.38,2022
5120416,1435,3.36,2013
27793347,1438,3.37,2023
8101042,1441,3.6,2013
228672,1447,3.51,1998
28817032,1449,3.36,2023
8496369,1452,3.5,2016
703049,1453,3.41,1998
23009183,1456,3.33,2021
495727,1458,3.37,2005
24869249,1462,3.36,2022
73648,1463,3.37,2001
7609823,1464,3.37,2015
24738521,1466,3.33,2018
2361066,1469,3.56,2010
13728296,1470,3.34,2017
4510424,1475,3.89,2011
10487955,1477,3.34,2015
28462882,1481,3.31,2020
14916126,1488,3.41,2020
4204639,1489,3.29,2013
9083775,1490,3.33,2015
27271095,1492,3.32,2023
4351845,1494,3.34,2013
20068879,1501,3.31,2021
8359523,1505,3.31,2016
19404535,1506,3.39,2020
1214795,1508,3.33,1997
15352884,1511,3.35,2018
8529312,1515,3.36,2018
3921140,1519,3.46,2009
8193564,1520,3.35,2015
726084,1523,3.35,1994
22840331,1525,3.33,2018
13953495,1526,3.33,2017
4886527,1527,3.35,2013
27666678,1537,3.32,2012
22840484,1539,3.34,2019
26673149,1541,3.37,2020
5667779,1542,3.92,2003
7036683,1544,3.34,2015
27822534,1550,3.32,2023
28467247,1552,3.54,2023
667118,1558,3.47,1997
14332634,1559,3.34,2017
25239016,1560,3.34,2022
23553920,1565,3.34,2021
4391293,1567,3.33,2013
7654351,1571,3.31,2015
20611435,1575,3.31,2020
6991223,1576,3.34,2015
268475,1579,3.71,1996
1227535,1581,3.39,1996
6194329,1587,3.34,2006
17473165,1588,3.35,2016
11076503,1595,3.45,2017
27480876,1598,3.31,2022
17511889,1601,3.33,2020
2060609,1607,3.52,1999
2696625,1610,3.47,2006
2329444,1611,3.56,1998
3607700,1615,3.32,2011
11338536,1619,3.31,2017
123019,1620,3.29,1985
25179433,1623,3.44,2013
15253230,1625,3.33,2015
23628023,1629,3.58,2001
5444133,1631,3.73,2012
16111180,1635,3.32,2020
20068879,1637,3.28,2019
