id;genres
19836;World Music,Rock/Metal,Pop,Jazz
19841;World Music,Pop,Jazz
28015;World Music
28984;World Music,Jazz
30519;World Music
30520;World Music
30529;World Music
3193;Hip-Hop/Rap,R&B/Soul & blues
10935;World Music,R&B/Soul & blues
30509;R&B/Soul & blues
30517;R&B/Soul & blues
30525;R&B/Soul & blues
30540;R&B/Soul & blues
30542;R&B/Soul & blues
30543;R&B/Soul & blues
30544;R&B/Soul & blues
30546;R&B/Soul & blues
30547;R&B/Soul & blues
30548;R&B/Soul & blues
30549;R&B/Soul & blues
30550;R&B/Soul & blues
6864;Jazz
30190;World Music,Jazz
30556;Jazz
30557;Jazz
1144;Rock/Metal,R&B/Soul & blues,Jazz
30583;Rock/Metal,Jazz
30581;Rock/Metal,Jazz
30578;Rock/Metal,Jazz
30577;Rock/Metal,Jazz
14106;Rock/Metal,Classical/Contemporary,R&B/Soul & blues,Jazz
11864;Rock/Metal,Jazz
11330;Rock/Metal,Jazz
11314;Folk,Rock/Metal,R&B/Soul & blues,Jazz
8406;Hip-Hop/Rap,Rock/Metal,R&B/Soul & blues,Jazz
8013;Other,Rock/Metal,R&B/Soul & blues,Classical/Contemporary,Jazz
7078;Rock/Metal,Jazz
2804;Rock/Metal,Jazz
2797;World Music,Rock/Metal,Jazz
133;Electronic/Dance,Other,Rock/Metal,R&B/Soul & blues,Hip-Hop/Rap,World Music,Pop,Jazz
33625;Rock/Metal,Jazz
864;World Music,Rock/Metal,R&B/Soul & blues,Jazz
1610;World Music,R&B/Soul & blues,Jazz
1760;World Music,Jazz,Other
2130;Rock/Metal,R&B/Soul & blues,Jazz
3253;World Music,Electronic/Dance,R&B/Soul & blues
10136;R&B/Soul & blues
10151;R&B/Soul & blues
30622;R&B/Soul & blues
30626;R&B/Soul & blues
30630;R&B/Soul & blues
30632;R&B/Soul & blues
30634;R&B/Soul & blues
30636;R&B/Soul & blues
1529;Other,Pop,R&B/Soul & blues,Hip-Hop/Rap,World Music,Jazz
4930;R&B/Soul & blues,Jazz
5884;R&B/Soul & blues,Jazz
5947;Jazz
7830;R&B/Soul & blues,Jazz
28913;Jazz
28920;Jazz
8046;Jazz
13472;Jazz
30701;Jazz
30703;Jazz
12493;Jazz
23271;Other,Rock/Metal,R&B/Soul & blues,Classical/Contemporary,Jazz
26059;Rock/Metal,Jazz,Other
30710;Rock/Metal,Jazz,Other
30711;Rock/Metal,Jazz,Other
30713;Rock/Metal,Jazz,Other
6756;Pop,R&B/Soul & blues,Jazz,Other
6757;Pop,R&B/Soul & blues,Jazz,Other
6758;Pop,R&B/Soul & blues,Jazz,Other
6759;Pop,R&B/Soul & blues,Jazz,Other
6760;Pop,R&B/Soul & blues,Jazz,Other
6761;Other,Rock/Metal,R&B/Soul & blues,Pop,Jazz
23010;Pop,Jazz,Other
25674;Pop,Jazz,Other
25676;Pop,Jazz,Other
9060;Folk,Rock/Metal,R&B/Soul & blues,Jazz
9061;Folk,R&B/Soul & blues,Jazz
9063;Folk,R&B/Soul & blues,Jazz
9065;Folk,R&B/Soul & blues,Jazz
9066;Folk,R&B/Soul & blues,Jazz
17660;Folk,R&B/Soul & blues,Jazz
30773;Folk,R&B/Soul & blues,Jazz
